location name,address,square footage,contact information,website,open date,management,developer,list of stores
Asheville Outlets,"800 Brevard Road, Asheville, NC 28806",325 000 sf,No info,www.shopashevilleoutlets.com,"may 1, 2015",new england development,new england development,"Ann Taylor, Banana Republic, Coach, Express, Gap, All shops, HanesBrands, Maurice’s, New York & Company, Tommy Hilfiger, Cole Haan, Famous Footwear, Johnston & Murphy, Rack Room Shoes, Nike, Kay Jewelers, Zales, Abercrombie & Fitch, American Eagle Outfitters, Brooks Brothers, Bath & Body Works, GNC, Vera Bradley"
Charlotte Premium Outlets,"5404 New Fashion Way Suite 100, Charlotte, NC 28278",400 000 sf,+1 (704) 408-8751,www.premiumoutlets.com/outlets/outlet.asp?id=111,"july 31, 2014",simon property group,No info,"Carter's, Justice & Brothers, Swarovski, Aeropostale, Ann Taylor, Banana Republic, bebe, Charlotte Russe, All shops, Chico's, Coach, Eddie Bauer, Express, Gap, HanesBrands, Hot Topic, Kate Spade, Lane Bryant, Levi's, Michael Kors, New York & Company, Perfumania, Tommy Hilfiger, Torrid, Wet Seal, Zumiez, Clarks Bostonian, Cole Haan, Converse, Crocs, Easy Spirit, All shops, Famous Footwear, Johnston & Murphy, New Balance, Rack Room Shoes, Rockport, Skechers, Steve Madden, Adidas, Finish Line, Lids, Nike, Puma, All shops, Reebok, Fossil, Kay Jewelers, Movado, The Children's Place, American Eagle Outfitters, Brooks Brothers, Old Navy, Crabtree & Evelyn, Vitamin World, Yankee Candle, Samsonite, Vera Bradley"
Dania Pointe,"292-344 North Bryan Road, Dania Beach, FL 33004",975 000 sf,No info,No info,No info,No info, kimco,No info
Liberty Center,No info,828 821 sf,No info,www.liberty-center.com,"april 1, 2015",No info,No info,"Banana Republic, Charlotte Russe, Chico's, Express, Gap, All shops, H&M, Lane Bryant, The Limited, Victoria's Secret, White House | Black Market, Zumiez, Foot Locker, J. Jill, Champs Sports, Dick's Sporting Goods, Lids, Pandora, Old Navy, Art of Shaving, Bath & Body Works, Lush, Yankee Candle"
Queens Place,"88-01 Queens Boulevard Elmhurst, NY 11373",440 000 sf,7183939400,No info,"october 11, 1965",forest city enterprises,"skidmore, owings & merrill","LensCrafters, Spencer's, Swarovski, Things Remembered, Aeropostale, Banana Republic, bebe, Charlotte Russe, Coach, All shops, Express, Gap, H&M, Hot Topic, Motherhood Maternity, New York & Company, Papaya, Perfumania, Victoria's Secret, White House | Black Market, Aerosoles, Aldo, Easy Spirit, Famous Footwear, Foot Locker, All shops, Geox, Journeys, Skechers, Steve Madden, Champs Sports, Finish Line, Lids, Fossil, Gordon's Jewelers, Helzberg Diamonds, Icing, Kay Jewelers, All shops, Zales, Disney Store, The Children's Place, American Eagle Outfitters, GameStop, Bath & Body Works, Proactiv Solution"
Westfield World Trade Center,"World Trade Center, Manhattan, NY 10007",365 000 sf,No info,No info,"april 1, 2015",No info,No info,"Banana Republic, Cole Haan, Stuart Weitzman, Fossil, Pandora, L’Occitane"
16th Street Mall,"16th Street Mall, Denver, CO 80265",No info,No info,No info,No info,No info,No info,"Ann Taylor, Banana Republic, Express, Gap, Hot Topic, All shops, Ross Dress For Less, Victoria's Secret, Journeys"
Abercorn Common,"8108 Abercorn Street, Savannah, GA 31406",180 000 sf,No info,No info,"may 6, 1968",No info,No info,Panera Bread
ABQ Uptown,"2200 Louisiana Blvd NE, Albuquerque, NM 87110-3583",220 000 sf,No info,No info,No info,simon properties,No info,"Soma Intimates, Ann Taylor, Anthropologie, Banana Republic, bebe, Charming Charlie, All shops, Chico's, Eddie Bauer, Francesca's Collections, Gap, Michael Kors, J. Jill, Lululemon athletica, Sleep Number, Lush"
Adrian mall,"1357 South Main, Suite 1012 Adrian, MI 49221",No info,No info,No info,No info,No info,No info,No info
Ala Moana Center,"1450 Ala Moana Blvd, Honolulu, HI 96814",2 100 000 sf,No info,No info,"august 13, 1959",general growth properties,No info,"American Girl, Hallmark, LensCrafters, Swarovski, Aeropostale, American Apparel, Ann Taylor, Anthropologie, Banana Republic, All shops, bebe, Burberry, Cache, Coach, Diesel, Express, Foreign Exchange, Gap, Hot Topic, J. Crew, Kate Spade, Levi's, Michael Kors, Neiman Marcus, Perfumania, The Limited, Tommy Bahama, Victoria's Secret, White House | Black Market, Zumiez, Barnes & Noble, Sam Goody, Sanrio, Aldo, Cole Haan, Crocs, Foot Locker, Journeys, All shops, Lacoste, Skechers, The Walking Company, Sephora, Lids, Lululemon athletica, Brighton Collectibles, Fossil, Pandora, Disney Store, LEGO, The Children's Place, Abercrombie & Fitch, American Eagle Outfitters, Old Navy, True Religion, RadioShack, GameStop, Aveda, Bath & Body Works, GNC, Lush, Nordstrom, Vera Bradley"
